time	V(pulse)	V(ref)	V(v+)
1.890526864430112e-07	2.785298e-03	2.834116e-03	3.297166e+00
1.890617278358728e-07	2.762879e-03	2.834117e-03	3.297166e+00
1.890665385014253e-07	2.761278e-03	2.834117e-03	3.297166e+00
1.890708958580658e-07	2.768083e-03	2.834118e-03	3.297166e+00
1.890751225074609e-07	2.780437e-03	2.834118e-03	3.297166e+00
1.890817856309262e-07	2.806307e-03	2.834118e-03	3.297166e+00
1.890894896335515e-07	2.839043e-03	2.834118e-03	3.297166e+00
1.890943042244332e-07	2.858232e-03	2.834118e-03	3.297166e+00
1.890990588812463e-07	2.873383e-03	2.834118e-03	3.297166e+00
1.891041350288851e-07	2.883880e-03	2.834118e-03	3.297166e+00
1.891096110523159e-07	2.888520e-03	2.834117e-03	3.297166e+00
1.891138393552358e-07	2.886926e-03	2.834117e-03	3.297166e+00
1.891190668437949e-07	2.879472e-03	2.834116e-03	3.297166e+00
1.891238592451934e-07	2.869153e-03	2.834116e-03	3.297166e+00
1.891278576714760e-07	2.858726e-03	2.834116e-03	3.297166e+00
1.891325283184024e-07	2.845902e-03	2.834116e-03	3.297166e+00
1.891373869513982e-07	2.833423e-03	2.834116e-03	3.297166e+00
1.891432482543894e-07	2.821208e-03	2.834116e-03	3.297166e+00
1.891498270786605e-07	2.812163e-03	2.834116e-03	3.297166e+00
1.891554549907431e-07	2.808785e-03	2.834116e-03	3.297166e+00
1.891596090520008e-07	2.809224e-03	2.834117e-03	3.297166e+00
1.891638050384589e-07	2.811882e-03	2.834117e-03	3.297166e+00
1.891672520032524e-07	2.815330e-03	2.834117e-03	3.297166e+00
1.891712042463103e-07	2.820282e-03	2.834117e-03	3.297166e+00
1.891756720857911e-07	2.826335e-03	2.834117e-03	3.297166e+00
1.891841001856726e-07	2.837129e-03	2.834117e-03	3.297166e+00
1.891913797724352e-07	2.844311e-03	2.834117e-03	3.297166e+00
1.891991068805210e-07	2.848750e-03	2.834117e-03	3.297166e+00
1.892044310740884e-07	2.849787e-03	2.834117e-03	3.297166e+00
1.892081042438325e-07	2.849411e-03	2.834117e-03	3.297166e+00
1.892128360257297e-07	2.848023e-03	2.834116e-03	3.297166e+00
1.892183439062114e-07	2.845805e-03	2.834116e-03	3.297166e+00
1.892231673851721e-07	2.843655e-03	2.834116e-03	3.297166e+00
1.892284333599237e-07	2.841459e-03	2.834116e-03	3.297166e+00
1.892350078601069e-07	2.839229e-03	2.834116e-03	3.297166e+00
1.892410578729344e-07	2.837739e-03	2.834116e-03	3.297166e+00
1.892468952381417e-07	2.836751e-03	2.834116e-03	3.297166e+00
1.892524612257759e-07	2.836027e-03	2.834116e-03	3.297166e+00
1.892594611588517e-07	2.835145e-03	2.834116e-03	3.297166e+00
1.892657412021689e-07	2.834260e-03	2.834116e-03	3.297166e+00
1.892712111206334e-07	2.833425e-03	2.834116e-03	3.297166e+00
1.892767967416285e-07	2.832648e-03	2.834116e-03	3.297166e+00
1.892829990522610e-07	2.832108e-03	2.834116e-03	3.297166e+00
1.892897363615911e-07	2.832169e-03	2.834117e-03	3.297166e+00
1.892969781114068e-07	2.833185e-03	2.834117e-03	3.297166e+00
1.893040689428411e-07	2.835117e-03	2.834117e-03	3.297166e+00
1.893085472035071e-07	2.836836e-03	2.834117e-03	3.297166e+00
1.893134867381182e-07	2.839094e-03	2.834117e-03	3.297166e+00
